date,airTemperature,cloudCover,currentDirection,currentSpeed,gust,humidity,precipitation,pressure,seaLevel,swellDirection,swellHeight,swellPeriod,visibility,waterTemperature,waveDirection,waveHeight,wavePeriod,windDirection,windSpeed
2021-09-29T08:00:00+00:00,17.41,0.0,114.34,0.25,12.41,60.03,0.0,1021.43,-0.17,233.87,2.63,12.46,24.13,15.32,219.47,2.97,10.88,135.36,11.41
2021-09-30T08:00:00+00:00,16.87,67.33,97.08,0.15,1.98,56.47,0.0,1018.39,-0.32,216.27,2.2,11.75,24.14,15.03,193.17,2.54,10.04,122.18,9.16
2021-10-01T08:00:00+00:00,16.64,79.53,111.04,0.14,8.58,80.17,0.04,1015.37,-0.27,228.46,1.34,11.07,24.13,14.81,183.04,2.0,7.65,147.51,10.75
2021-10-02T08:00:00+00:00,14.39,64.43,113.13,0.26,8.87,55.17,0.01,1019.4,-0.28,221.14,2.21,9.45,24.13,14.93,210.36,2.61,8.27,171.42,9.93
2021-10-03T08:00:00+00:00,14.04,29.37,106.49,0.3,7.18,48.23,0.02,1023.34,-0.28,224.91,1.91,10.92,24.13,14.99,222.55,1.95,10.66,123.71,5.2
2021-10-04T08:00:00+00:00,15.44,0.0,99.68,0.34,7.03,47.53,0.0,1023.75,-0.27,219.78,1.65,10.17,24.14,15.06,201.95,1.89,8.74,130.17,9.01
2021-10-05T08:00:00+00:00,17.31,0.0,115.35,0.29,1.92,46.73,0.0,1017.6,-0.32,163.57,1.42,7.86,24.14,14.98,163.32,1.42,7.82,134.55,3.96
2021-10-06T08:00:00+00:00,18.88,30.93,106.38,0.24,3.83,56.67,0.0,1015.81,-0.33,183.06,1.12,10.22,24.14,15.16,154.42,1.53,7.54,132.42,8.19
2021-10-07T08:00:00+00:00,21.92,33.33,226.17,0.03,8.71,43.67,0.0,1009.9,-0.2,200.9,1.4,10.32,24.13,15.32,200.96,1.4,10.3,347.39,3.43
2021-10-08T08:00:00+00:00,16.87,97.67,213.44,0.08,7.34,62.37,0.0,1015.07,-0.26,238.9,1.09,11.38,24.13,15.23,296.33,1.6,7.53,348.01,9.93
2021-10-09T08:00:00+00:00,16.55,98.07,332.05,0.06,1.94,74.1,0.1,1019.37,-0.08,234.82,1.43,8.7,23.41,15.68,234.82,1.43,8.7,257.4,2.26
2021-10-10T08:00:00+00:00,20.06,5.0,59.18,0.07,1.36,35.37,0.0,1022.64,-0.17,227.45,1.83,11.02,24.13,15.49,227.45,1.83,11.02,126.72,1.66
2021-10-11T08:00:00+00:00,24.53,29.17,94.93,0.14,1.68,27.7,0.0,1015.7,-0.2,237.57,1.34,10.68,24.13,15.62,237.57,1.34,10.68,240.9,1.0
2021-10-12T08:00:00+00:00,19.84,100.0,104.37,0.17,4.79,55.9,0.0,1015.62,-0.25,247.17,1.69,12.92,24.14,15.63,247.17,1.69,12.92,164.32,2.76
2021-10-13T08:00:00+00:00,20.5,100.0,106.61,0.18,2.43,63.43,0.0,1009.66,-0.27,249.48,1.79,12.37,22.04,15.66,249.48,1.79,12.37,341.26,1.83
2021-10-14T08:00:00+00:00,17.13,76.53,123.6,0.17,4.89,68.83,0.21,1011.71,-0.28,255.65,2.67,10.1,13.72,15.87,255.65,2.67,10.1,228.57,3.68
2021-10-15T08:00:00+00:00,16.17,24.93,139.12,0.16,5.47,46.07,0.01,1014.69,-0.24,233.16,2.05,11.0,24.14,15.23,235.51,2.11,10.61,295.05,6.91
