date,airTemperature,cloudCover,currentDirection,currentSpeed,humidity,precipitation,pressure,seaLevel,visibility,waterTemperature,waveDirection,waveHeight,wavePeriod,windDirection,windSpeed
2021-09-29T08:00:00+00:00,17.41,0.0,148.02,0.2,60.03,0.0,1021.43,-0.17,24.13,15.19,198.74,3.62,6.99,157.02,8.07
2021-09-30T08:00:00+00:00,16.87,67.33,142.59,0.06,56.47,0.0,1018.39,-0.29,24.14,14.85,170.88,3.17,6.79,155.17,2.22
2021-10-01T08:00:00+00:00,16.64,79.53,167.01,0.13,80.17,0.04,1015.37,-0.26,24.13,14.85,171.56,2.5,5.67,169.4,5.18
2021-10-02T08:00:00+00:00,14.39,64.43,138.13,0.2,55.17,0.01,1019.4,-0.28,24.13,14.96,204.32,3.39,6.7,173.42,8.79
2021-10-03T08:00:00+00:00,14.04,29.37,129.12,0.16,48.23,0.02,1023.34,-0.27,24.13,14.8,207.39,3.03,7.86,128.85,4.55
2021-10-04T08:00:00+00:00,15.44,0.0,121.74,0.11,47.53,0.0,1023.75,-0.26,24.14,14.64,185.91,2.4,5.6,153.58,4.79
2021-10-05T08:00:00+00:00,17.31,0.0,143.4,0.26,46.73,0.0,1017.6,-0.33,24.14,15.36,162.33,1.92,5.61,149.32,1.76
2021-10-06T08:00:00+00:00,18.88,30.93,131.15,0.14,56.67,0.0,1015.81,-0.3,24.14,15.24,151.89,2.23,5.02,143.21,2.48
2021-10-07T08:00:00+00:00,21.92,33.33,133.99,0.04,43.67,0.0,1009.9,-0.2,24.13,15.43,190.52,1.73,5.4,352.74,4.26
2021-10-08T08:00:00+00:00,16.87,97.67,83.0,0.11,62.37,0.0,1015.07,-0.25,24.13,15.5,255.13,1.79,5.04,357.89,6.83
